               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033309,            0.073138,            0.010186,             0.84971,             0.81784,             0.86829,             0.61968,            0.028042,             0.06937,             0.01049,            0.008812,            0.008812,            0.008812
                  38,            0.032599,            0.071955,           0.0099695,             0.85737,             0.81226,             0.86777,             0.62777,            0.027958,            0.069536,            0.010136,            0.008779,            0.008779,            0.008779
                  39,            0.032748,            0.070812,           0.0098293,             0.87592,             0.78366,             0.86978,             0.62292,            0.028204,            0.070598,            0.010321,            0.008746,            0.008746,            0.008746
                  40,            0.032683,            0.072281,           0.0098643,             0.85162,             0.81586,             0.86794,               0.625,            0.028098,             0.06936,            0.010446,            0.008713,            0.008713,            0.008713
                  41,            0.032858,            0.072159,           0.0098963,             0.86643,             0.81415,             0.87194,             0.63726,            0.028025,            0.069984,            0.010486,             0.00868,             0.00868,             0.00868
                  42,             0.03258,            0.071414,           0.0097971,             0.87403,             0.80351,             0.87257,             0.63037,            0.027979,            0.069563,           0.0099623,            0.008647,            0.008647,            0.008647
                  43,            0.032762,            0.070894,           0.0094862,             0.86865,              0.8077,             0.86918,             0.62904,            0.027826,            0.069134,            0.010267,            0.008614,            0.008614,            0.008614
                  44,            0.032548,            0.070662,           0.0096759,             0.85337,             0.82724,             0.87149,             0.64093,            0.027801,            0.069579,            0.010045,            0.008581,            0.008581,            0.008581
                  45,             0.03234,            0.069996,           0.0095107,               0.865,             0.81326,             0.87354,             0.63292,            0.027924,            0.069479,            0.010102,            0.008548,            0.008548,            0.008548
                  46,            0.032406,            0.071058,           0.0094908,             0.87722,              0.8114,             0.87715,             0.64156,            0.027793,            0.069284,           0.0098825,            0.008515,            0.008515,            0.008515
                  47,            0.032074,            0.069211,           0.0092251,             0.86658,               0.818,             0.87518,             0.63695,            0.027743,             0.06894,            0.009849,            0.008482,            0.008482,            0.008482
                  48,             0.03219,            0.070262,           0.0092887,             0.86672,             0.81939,             0.88135,              0.6382,            0.027594,            0.068604,           0.0096814,            0.008449,            0.008449,            0.008449
                  49,            0.032023,            0.069003,           0.0091249,             0.87948,             0.80242,              0.8788,             0.64076,            0.027454,            0.068522,            0.009675,            0.008416,            0.008416,            0.008416
                  50,            0.031711,            0.069422,           0.0090931,             0.87197,             0.80702,             0.87471,             0.63988,            0.027454,            0.069379,            0.010222,            0.008383,            0.008383,            0.008383
                  51,            0.031896,            0.068882,           0.0089996,             0.87503,             0.81747,             0.87892,             0.64269,            0.027649,            0.069043,            0.010279,             0.00835,             0.00835,             0.00835
                  52,             0.03187,            0.068963,           0.0089531,             0.88035,             0.81349,             0.88186,             0.64838,            0.027635,             0.06917,            0.010043,            0.008317,            0.008317,            0.008317
                  53,            0.031754,            0.068775,            0.008812,              0.8744,             0.81238,             0.87406,             0.64393,            0.027443,            0.069387,            0.010271,            0.008284,            0.008284,            0.008284
                  54,            0.031482,             0.06706,           0.0088865,             0.87782,             0.81517,             0.87992,             0.65055,             0.02745,             0.06971,            0.010063,            0.008251,            0.008251,            0.008251
                  55,             0.03153,            0.068249,           0.0088248,             0.87444,             0.81438,             0.87491,             0.64643,            0.027601,            0.068707,            0.010097,            0.008218,            0.008218,            0.008218
                  56,             0.03171,            0.068041,           0.0087935,             0.87601,             0.81973,              0.8799,             0.65727,            0.027418,             0.06899,            0.010038,            0.008185,            0.008185,            0.008185
                  57,             0.03148,            0.069206,           0.0086525,               0.869,             0.82043,             0.87753,             0.64968,            0.027398,            0.069086,             0.01095,            0.008152,            0.008152,            0.008152
                  58,            0.031364,            0.067323,           0.0088301,             0.87228,             0.82068,             0.87811,             0.64413,            0.027427,            0.069236,             0.01045,            0.008119,            0.008119,            0.008119
                  59,            0.031071,            0.066186,           0.0087057,               0.875,             0.81512,             0.87897,             0.65784,            0.027312,            0.069744,            0.010349,            0.008086,            0.008086,            0.008086
                  60,            0.030873,            0.068315,           0.0085407,              0.8804,             0.80896,             0.87524,             0.64981,            0.027345,            0.069305,            0.010503,            0.008053,            0.008053,            0.008053
                  61,            0.031232,            0.066378,           0.0085782,             0.87859,             0.81869,              0.8795,             0.65409,            0.027365,            0.068894,            0.010255,             0.00802,             0.00802,             0.00802
                  62,             0.03086,            0.066458,            0.008386,             0.86729,             0.83489,              0.8782,             0.65644,            0.027523,             0.06955,            0.010467,            0.007987,            0.007987,            0.007987
                  63,            0.030808,            0.066831,           0.0082911,              0.8803,             0.82837,             0.88264,             0.66336,            0.027174,             0.06917,            0.010022,            0.007954,            0.007954,            0.007954
                  64,            0.031062,            0.066888,           0.0085669,             0.87619,             0.82511,             0.88028,             0.65479,             0.02725,            0.069201,            0.010574,            0.007921,            0.007921,            0.007921
                  65,            0.030887,            0.067548,           0.0082142,              0.8784,             0.81866,             0.87877,             0.65558,            0.027113,            0.068637,            0.010295,            0.007888,            0.007888,            0.007888
                  66,            0.030706,            0.067489,           0.0081972,             0.88659,             0.81126,             0.88002,             0.65595,            0.027091,            0.069386,            0.010167,            0.007855,            0.007855,            0.007855
                  67,            0.030793,            0.066523,           0.0081443,             0.88107,             0.82384,             0.88175,             0.65982,            0.026886,            0.068755,            0.010392,            0.007822,            0.007822,            0.007822
                  68,            0.030568,            0.066371,           0.0082481,             0.88108,             0.82686,             0.88313,             0.65796,            0.027069,            0.069291,             0.01037,            0.007789,            0.007789,            0.007789
                  69,            0.030667,            0.066186,           0.0081089,             0.87534,             0.81891,             0.88276,             0.65652,            0.026963,            0.069066,            0.010714,            0.007756,            0.007756,            0.007756
                  70,            0.030449,            0.066708,           0.0079482,             0.88305,             0.81845,             0.87917,             0.65979,            0.027135,            0.069587,            0.010721,            0.007723,            0.007723,            0.007723
                  71,            0.030471,            0.065465,           0.0080123,             0.87878,             0.81475,             0.88246,             0.65632,            0.027067,            0.069626,            0.010517,             0.00769,             0.00769,             0.00769
                  72,            0.030588,            0.066299,           0.0080671,             0.88104,              0.8208,             0.88044,             0.66014,            0.027095,            0.069002,            0.010843,            0.007657,            0.007657,            0.007657
                  73,            0.030397,            0.066142,           0.0077791,             0.88106,             0.82685,             0.88041,             0.66346,            0.026802,            0.068965,            0.010914,            0.007624,            0.007624,            0.007624
                  74,            0.030179,            0.063851,           0.0078273,             0.87822,             0.82474,             0.88249,             0.66534,            0.026951,            0.068559,            0.010639,            0.007591,            0.007591,            0.007591
                  75,            0.030182,            0.066065,           0.0078772,             0.87216,                0.83,             0.88046,             0.66643,            0.026882,            0.069349,            0.010513,            0.007558,            0.007558,            0.007558
                  76,             0.03031,            0.065713,           0.0076684,             0.88388,             0.82077,             0.88019,             0.66575,            0.026739,            0.069234,             0.01062,            0.007525,            0.007525,            0.007525
                  77,            0.029835,            0.063511,           0.0077016,             0.88669,             0.82694,              0.8833,             0.67051,            0.026778,              0.0689,            0.010602,            0.007492,            0.007492,            0.007492
                  78,            0.030289,             0.06524,           0.0077795,             0.88041,             0.83222,             0.88406,             0.66878,            0.026839,            0.068824,            0.010607,            0.007459,            0.007459,            0.007459
                  79,            0.030251,             0.06438,           0.0075884,             0.88074,             0.83481,              0.8845,              0.6719,             0.02689,            0.068814,            0.010519,            0.007426,            0.007426,            0.007426
                  80,            0.029761,            0.063585,           0.0075414,             0.88135,             0.83051,             0.88368,             0.66876,            0.026696,            0.068847,            0.010536,            0.007393,            0.007393,            0.007393
                  81,            0.029812,            0.064106,           0.0076868,             0.88732,             0.82611,             0.88565,             0.67251,            0.026547,            0.068066,             0.01044,             0.00736,             0.00736,             0.00736
                  82,            0.029911,            0.064887,           0.0078535,             0.88664,             0.82633,              0.8851,             0.67523,            0.026521,             0.06852,            0.010584,            0.007327,            0.007327,            0.007327
                  83,            0.029792,            0.064683,           0.0075314,             0.89079,             0.82517,             0.88424,              0.6727,            0.026635,            0.068304,            0.010589,            0.007294,            0.007294,            0.007294
                  84,            0.030114,            0.063889,           0.0074329,             0.88774,             0.83032,             0.88384,             0.67638,            0.026635,            0.068468,            0.010426,            0.007261,            0.007261,            0.007261
                  85,            0.029809,            0.064013,            0.007436,             0.88912,             0.82586,             0.88463,             0.67301,            0.026676,             0.06938,             0.01049,            0.007228,            0.007228,            0.007228
                  86,            0.029552,            0.062782,           0.0074601,             0.87607,             0.84184,               0.885,             0.67455,            0.026576,            0.068644,            0.010895,            0.007195,            0.007195,            0.007195
                  87,            0.029848,            0.064745,            0.007428,             0.88578,             0.83186,             0.88291,             0.67192,            0.026604,            0.069353,            0.010721,            0.007162,            0.007162,            0.007162
                  88,            0.029763,            0.063924,           0.0074186,              0.8901,             0.82346,              0.8847,             0.67296,            0.026658,            0.069011,            0.011016,            0.007129,            0.007129,            0.007129
                  89,            0.029809,            0.063705,           0.0073306,              0.8838,             0.83394,             0.88663,             0.67685,            0.026448,            0.068511,            0.010744,            0.007096,            0.007096,            0.007096
                  90,            0.029485,             0.06304,           0.0072508,             0.88946,             0.82434,             0.88667,             0.67437,            0.026557,            0.068619,            0.010853,            0.007063,            0.007063,            0.007063
                  91,            0.029405,            0.062131,           0.0071886,              0.8887,             0.82424,             0.88647,             0.67993,            0.026527,            0.069217,            0.010927,             0.00703,             0.00703,             0.00703
                  92,            0.029314,            0.063513,           0.0072412,             0.89006,             0.82439,             0.88674,             0.67445,            0.026625,              0.0692,            0.010701,            0.006997,            0.006997,            0.006997
                  93,            0.029557,            0.062989,           0.0071174,              0.8938,             0.82964,             0.88574,             0.67583,            0.026618,            0.069685,            0.011125,            0.006964,            0.006964,            0.006964
                  94,            0.029508,            0.063235,           0.0073627,             0.88782,             0.83667,             0.88845,             0.67572,            0.026388,            0.069179,            0.010939,            0.006931,            0.006931,            0.006931
                  95,            0.029356,            0.063296,           0.0071263,             0.88647,             0.83172,             0.88694,             0.67676,            0.026589,            0.069491,            0.011054,            0.006898,            0.006898,            0.006898
                  96,            0.029248,            0.063015,           0.0071186,             0.89245,             0.82697,             0.88867,             0.68076,              0.0265,             0.06913,            0.010947,            0.006865,            0.006865,            0.006865
                  97,             0.02944,             0.06304,           0.0070575,             0.88914,             0.83461,             0.88832,             0.68191,            0.026442,            0.069346,            0.010741,            0.006832,            0.006832,            0.006832
                  98,            0.028922,            0.061509,           0.0070056,             0.88381,             0.83434,             0.88728,              0.6786,            0.026434,            0.069359,            0.010965,            0.006799,            0.006799,            0.006799
                  99,             0.02921,            0.061494,           0.0069805,             0.88286,             0.83976,              0.8884,             0.68022,            0.026331,             0.06901,             0.01104,            0.006766,            0.006766,            0.006766
                 100,            0.028893,            0.062494,           0.0069077,             0.88603,             0.83514,              0.8858,             0.67862,            0.026244,            0.068873,            0.011156,            0.006733,            0.006733,            0.006733
                 101,            0.029212,            0.062437,           0.0069504,             0.88155,              0.8377,             0.88547,             0.67945,            0.026279,            0.069412,            0.011218,              0.0067,              0.0067,              0.0067
                 102,            0.029171,            0.061828,           0.0069529,             0.88437,             0.83528,              0.8861,             0.68206,            0.026356,             0.06976,            0.010906,            0.006667,            0.006667,            0.006667
                 103,            0.028948,            0.061959,           0.0068439,             0.88743,             0.83861,             0.88773,             0.67914,            0.026313,            0.069246,            0.010887,            0.006634,            0.006634,            0.006634
                 104,            0.028752,            0.060564,           0.0069241,             0.88104,              0.8407,              0.8857,             0.67935,            0.026304,            0.069099,            0.011095,            0.006601,            0.006601,            0.006601
                 105,            0.028967,            0.061728,           0.0068335,             0.88778,             0.83519,             0.88616,             0.67961,             0.02632,            0.069344,            0.011062,            0.006568,            0.006568,            0.006568
                 106,            0.028809,            0.061992,            0.006792,             0.88993,             0.83667,             0.88538,              0.6799,             0.02628,            0.069091,            0.011301,            0.006535,            0.006535,            0.006535
                 107,            0.028692,            0.060898,           0.0068171,             0.88512,             0.84286,             0.88786,              0.6837,            0.026232,            0.068761,            0.011096,            0.006502,            0.006502,            0.006502
                 108,            0.028598,            0.060159,           0.0067971,              0.8831,             0.83795,             0.88663,             0.68222,            0.026323,            0.068728,            0.011053,            0.006469,            0.006469,            0.006469
                 109,             0.02876,            0.059817,           0.0067432,             0.88744,             0.82856,             0.88847,             0.68173,            0.026273,            0.068914,            0.011154,            0.006436,            0.006436,            0.006436
                 110,            0.028859,            0.060727,           0.0067156,             0.87893,             0.84117,             0.88952,              0.6829,            0.026242,            0.069065,            0.011068,            0.006403,            0.006403,            0.006403
                 111,            0.028682,            0.060853,           0.0068511,             0.88955,             0.83605,             0.88891,             0.68186,            0.026296,              0.0696,            0.011088,             0.00637,             0.00637,             0.00637
                 112,            0.028433,            0.060324,           0.0064661,             0.88259,             0.84184,             0.88785,             0.68281,            0.026225,            0.069254,            0.011102,            0.006337,            0.006337,            0.006337
                 113,            0.028686,            0.060492,           0.0067351,             0.87932,             0.84431,             0.88807,             0.68335,            0.026273,            0.069582,            0.011106,            0.006304,            0.006304,            0.006304
                 114,            0.028656,            0.060414,           0.0066497,             0.88166,             0.84235,             0.88702,             0.68382,            0.026287,            0.069825,             0.01136,            0.006271,            0.006271,            0.006271
